,hospital_admissions,SO2_level,log_hosp,date
1,177,21.3,5.176149733,1/1/1994
2,231,12.35,5.442417711,1/2/1994
3,267,44.53,5.587248658,1/3/1994
4,229,26.41,5.433722004,1/4/1994
5,232,20.99,5.446737372,1/5/1994
6,187,46.73,5.231108617,1/6/1994
7,216,15.42,5.375278408,1/7/1994
8,180,36.19,5.192956851,1/8/1994
9,173,48.93,5.153291594,1/9/1994
10,244,21.66,5.497168225,1/10/1994
11,193,14.79,5.262690189,1/11/1994
12,204,24.27,5.318119994,1/12/1994
13,186,26.88,5.225746674,1/13/1994
14,160,16.66,5.075173815,1/14/1994
15,165,14.49,5.105945474,1/15/1994
16,162,12.7,5.087596335,1/16/1994
17,249,21.64,5.517452896,1/17/1994
18,210,29.6,5.347107531,1/18/1994
19,204,13.15,5.318119994,1/19/1994
20,189,18.9,5.241747015,1/20/1994
21,187,21.32,5.231108617,1/21/1994
22,161,27.51,5.081404365,1/22/1994
23,167,24.29,5.117993812,1/23/1994
24,237,24.61,5.468060141,1/24/1994
25,252,40.8,5.529429088,1/25/1994
26,238,41.53,5.472270674,1/26/1994
27,212,33.54,5.356586275,1/27/1994
28,226,35.39,5.420534999,1/28/1994
29,237,20.7,5.468060141,1/29/1994
30,218,12.49,5.384495063,1/30/1994
31,251,16.11,5.525452939,1/31/1994
32,250,38.64,5.521460918,2/1/1994
33,214,20.04,5.365976015,2/2/1994
34,205,12.08,5.323009979,2/3/1994
35,202,12.12,5.308267697,2/4/1994
36,213,16.95,5.361292166,2/5/1994
37,192,30.28,5.257495372,2/6/1994
38,201,29.81,5.303304908,2/7/1994
39,206,25.01,5.327876169,2/8/1994
40,168,13.34,5.123963979,2/9/1994
41,156,4,5.049856007,2/10/1994
42,235,12.22,5.459585514,2/11/1994
43,225,6.98,5.416100402,2/12/1994
44,202,2.75,5.308267697,2/13/1994
45,270,8.24,5.598421959,2/14/1994
46,243,12.98,5.493061443,2/15/1994
47,227,6.66,5.424950017,2/16/1994
48,193,9.33,5.262690189,2/17/1994
49,214,7.37,5.365976015,2/18/1994
50,186,15,5.225746674,2/19/1994
51,188,12.03,5.236441963,2/20/1994
52,223,15.99,5.407171771,2/21/1994
53,239,13.39,5.476463552,2/22/1994
54,244,29.11,5.497168225,2/23/1994
55,246,27.99,5.505331536,2/24/1994
56,207,14.46,5.332718793,2/25/1994
57,232,12.65,5.446737372,2/26/1994
58,174,11.22,5.159055299,2/27/1994
59,237,13.49,5.468060141,2/28/1994
60,240,15.46,5.480638923,3/1/1994
61,242,17.53,5.488937726,3/2/1994
62,251,31.86,5.525452939,3/3/1994
63,225,18.75,5.416100402,3/4/1994
64,248,15.73,5.513428746,3/5/1994
65,221,11.17,5.398162702,3/6/1994
66,305,37.98,5.720311777,3/7/1994
67,286,42.83,5.655991811,3/8/1994
68,237,11.1,5.468060141,3/9/1994
69,232,13.14,5.446737372,3/10/1994
70,2,15.66,0.693147181,3/11/1994
71,253,34.79,5.533389489,3/12/1994
72,191,15.14,5.252273428,3/13/1994
73,3,11.92,1.098612289,3/14/1994
74,244,13.96,5.497168225,3/15/1994
75,283,28.79,5.645446898,3/16/1994
76,247,29.93,5.509388337,3/17/1994
77,234,23.75,5.455321115,3/18/1994
78,216,25.06,5.375278408,3/19/1994
79,214,8.67,5.365976015,3/20/1994
80,271,15.06,5.602118821,3/21/1994
81,252,16.6,5.529429088,3/22/1994
82,265,21,5.579729826,3/23/1994
83,270,18.59,5.598421959,3/24/1994
84,242,22.5,5.488937726,3/25/1994
85,228,17.07,5.429345629,3/26/1994
86,246,8.86,5.505331536,3/27/1994
87,291,15.56,5.673323267,3/28/1994
88,280,14.23,5.634789603,3/29/1994
